time_s,amp_env_hilbert_primary,amp_env_hilbert_fullband,amp_env_deriv_hwrect,spectral_flux,anm,amp_env_gammatone
2.421875,2.652472,2.652472,4.417841,2.705084,1.225947,2.652472
2.429688,1.746897,1.746897,3.987309,2.209788,0.998787,1.746897
2.437500,2.161683,2.161683,4.178754,1.806104,1.038393,2.161683
2.445312,1.784796,1.784796,3.846944,1.632698,0.951859,1.784796
2.453125,1.841376,1.841376,4.347611,1.453893,1.104274,1.841376
2.460938,1.982633,1.982633,4.451026,2.402642,0.993292,1.982633
2.468750,1.926210,1.926210,4.493280,1.644674,0.805057,1.926210
2.476562,1.800845,1.800845,4.059343,2.125466,0.881936,1.800845
2.484375,2.103903,2.103903,3.785407,1.637958,0.814112,2.103903
2.492188,1.555638,1.555638,4.529103,2.523448,1.061582,1.555638
2.500000,2.160381,2.160381,4.553797,1.349440,0.760231,2.160381
2.507812,1.586814,1.586814,4.313145,2.517722,0.757885,1.586814
2.515625,1.968049,1.968049,4.137643,1.825116,1.169173,1.968049
2.523438,1.540547,1.540547,3.597731,1.590901,0.997594,1.540547
2.531250,1.841624,1.841624,3.968226,0.796025,0.771907,1.841624
2.539062,1.600189,1.600189,3.810755,2.155627,0.727041,1.600189
2.546875,1.925806,1.925806,3.616796,1.401302,0.763008,1.925806
2.554688,1.378649,1.378649,3.185057,1.979197,1.037376,1.378649
2.562500,2.170575,2.170575,3.743507,1.821827,0.785933,2.170575
2.570312,1.322807,1.322807,3.109026,2.220311,0.882577,1.322807
2.578125,1.862198,1.862198,3.345983,1.475319,0.992762,1.862198
2.585938,1.562265,1.562265,3.725416,2.697850,0.703098,1.562265
2.593750,1.821407,1.821407,3.215188,1.908089,0.918951,1.821407
2.601562,1.603380,1.603380,2.305531,2.308137,0.729968,1.603380
2.609375,1.694160,1.694160,3.080378,2.603110,0.692911,1.694160
2.617188,1.576580,1.576580,3.132438,1.282569,0.689532,1.576580
2.625000,1.791093,1.791093,2.603983,2.063249,0.899683,1.791093
